¹,EC,Protein,R_1,R_2,R_3,R_4,R_5,R_6,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8
3844,2.7.1.79,diphosphate-glycerol phosphotransferase,diphosphate,glycerol,NA,NA,NA,NA,phosphate,glycerol 1-phosphate,NA,NA,NA,NA,NA,NA
3845,2.7.1.80,diphosphate-serine phosphotransferase,diphosphate,L-serine,NA,NA,NA,NA,phosphate,O-phospho-L-serine,NA,NA,NA,NA,NA,NA
3846,2.7.1.81,hydroxylysine kinase,GTP,5-hydroxy-L-lysine,NA,NA,NA,NA,GDP,5-phosphooxy-L-lysine,NA,NA,NA,NA,NA,NA
3847,2.7.1.82,ethanolamine kinase,ATP,ethanolamine,NA,NA,NA,NA,ADP,O-phosphoethanolamine,NA,NA,NA,NA,NA,NA
3848,2.7.1.83,pseudouridine kinase,ATP,pseudouridine,NA,NA,NA,NA,ADP,pseudouridine 5'-phosphate,NA,NA,NA,NA,NA,NA
3849,2.7.1.84,alkylglycerone kinase,ATP,O-alkylglycerone,NA,NA,NA,NA,ADP,O-alkylglycerone phosphate,NA,NA,NA,NA,NA,NA
3850,2.7.1.85,beta-glucoside kinase,ATP,cellobiose,NA,NA,NA,NA,ADP,6-phospho-beta-D-glucosyl-(1->4)-D-glucose,NA,NA,NA,NA,NA,NA
3851,2.7.1.86,NADH kinase,ATP,NADH,NA,NA,NA,NA,ADP,NADPH,NA,NA,NA,NA,NA,NA
3852,2.7.1.87,streptomycin 3''-kinase,ATP,streptomycin,NA,NA,NA,NA,ADP,streptomycin 3''-phosphate,NA,NA,NA,NA,NA,NA
3853,2.7.1.88,dihydrostreptomycin-6-phosphate 3'alpha-kinase,ATP,dihydrostreptomycin 6-phosphate,NA,NA,NA,NA,ADP,"dihydrostreptomycin 3'alpha,6-bisphosphate",NA,NA,NA,NA,NA,NA
3854,2.7.1.89,thiamine kinase,ATP,thiamine,NA,NA,NA,NA,ADP,thiamine phosphate,NA,NA,NA,NA,NA,NA
3855,2.7.1.90,diphosphate-fructose-6-phosphate 1-phosphotransferase,diphosphate,D-fructose 6-phosphate,NA,NA,NA,NA,phosphate,"D-fructose 1,6-bisphosphate",NA,NA,NA,NA,NA,NA
3856,2.7.1.91,sphingosine kinase,ATP,a sphingoid base,NA,NA,NA,NA,ADP,a sphingoid base 1-phosphate,NA,NA,NA,NA,NA,NA
3857,2.7.1.92,5-dehydro-2-deoxygluconokinase,ATP,5-dehydro-2-deoxy-D-gluconate,NA,NA,NA,NA,ADP,6-phospho-5-dehydro-2-deoxy-D-gluconate,NA,NA,NA,NA,NA,NA
3858,2.7.1.93,alkylglycerol kinase,ATP,1-O-alkyl-sn-glycerol,NA,NA,NA,NA,ADP,1-O-alkyl-sn-glycerol 3-phosphate,NA,NA,NA,NA,NA,NA
3859,2.7.1.94,acylglycerol kinase,ATP,acylglycerol,NA,NA,NA,NA,ADP,acyl-sn-glycerol 3-phosphate,NA,NA,NA,NA,NA,NA
3860,2.7.1.95,kanamycin kinase,ATP,kanamycin,NA,NA,NA,NA,ADP,kanamycin 3'-phosphate,NA,NA,NA,NA,NA,NA
3861,2.7.1.100,S-methyl-5-thioribose kinase,ATP,S-methyl-5-thio-D-ribose,NA,NA,NA,NA,ADP,S-methyl-5-thio-alpha-D-ribose 1-phosphate,NA,NA,NA,NA,NA,NA
3862,2.7.1.101,tagatose kinase,ATP,D-tagatose,NA,NA,NA,NA,ADP,D-tagatose 6-phosphate,NA,NA,NA,NA,NA,NA
3863,2.7.1.102,hamamelose kinase,ATP,D-hamamelose,NA,NA,NA,NA,ADP,D-hamamelose 2'-phosphate,NA,NA,NA,NA,NA,NA
3864,2.7.1.103,viomycin kinase,ATP,viomycin,NA,NA,NA,NA,ADP,O-phosphoviomycin,NA,NA,NA,NA,NA,NA
3865,2.7.1.105,6-phosphofructo-2-kinase,ATP,beta-D-fructose 6-phosphate,NA,NA,NA,NA,ADP,"beta-D-fructose 2,6-bisphosphate",NA,NA,NA,NA,NA,NA
3866,2.7.1.106,"glucose-1,6-bisphosphate synthase",3-phospho-D-glyceroyl phosphate,alpha-D-glucose 1-phosphate,NA,NA,NA,NA,3-phospho-D-glycerate,"alpha-D-glucose 1,6-bisphosphate",NA,NA,NA,NA,NA,NA
3867,2.7.1.107,diacylglycerol kinase (ATP),ATP,"1,2-diacyl-sn-glycerol",NA,NA,NA,NA,ADP,"1,2-diacyl-sn-glycerol 3-phosphate",NA,NA,NA,NA,NA,NA
3868,2.7.1.108,dolichol kinase,CTP,dolichol,NA,NA,NA,NA,CDP,dolichyl phosphate,NA,NA,NA,NA,NA,NA
3869,2.7.1.109,[hydroxymethylglutaryl-CoA reductase (NADPH)] kinase,ATP,[hydroxymethylglutaryl-CoA reductase (NADPH)],NA,NA,NA,NA,ADP,[hydroxymethylglutaryl-CoA reductase (NADPH)] phosphate,NA,NA,NA,NA,NA,NA
3870,2.7.1.110,dephospho-[reductase kinase] kinase,ATP,dephospho-{[hydroxymethylglutaryl-CoA reductase (NADPH)] kinase},NA,NA,NA,NA,ADP,{[hydroxymethylglutaryl-CoA reductase (NADPH)] kinase},NA,NA,NA,NA,NA,NA
3871,2.7.1.113,deoxyguanosine kinase,ATP,deoxyguanosine,NA,NA,NA,NA,ADP,dGMP,NA,NA,NA,NA,NA,NA
3872,2.7.1.114,AMP-thymidine kinase,AMP,thymidine,NA,NA,NA,NA,adenosine,dTMP,NA,NA,NA,NA,NA,NA
3873,2.7.1.118,ADP-thymidine kinase,ADP,thymidine,NA,NA,NA,NA,AMP,dTMP,NA,NA,NA,NA,NA,NA
3874,2.7.1.119,hygromycin-B 7''-O-kinase,ATP,hygromycin B,NA,NA,NA,NA,ADP,7''-O-phosphohygromycin B,NA,NA,NA,NA,NA,NA
3875,2.7.1.121,phosphoenolpyruvate-glycerone phosphotransferase,phosphoenolpyruvate,glycerone,NA,NA,NA,NA,pyruvate,glycerone phosphate,NA,NA,NA,NA,NA,NA
3876,2.7.1.122,xylitol kinase,ATP,xylitol,NA,NA,NA,NA,ADP,xylitol 5-phosphate,NA,NA,NA,NA,NA,NA
3877,2.7.1.127,inositol-trisphosphate 3-kinase,ATP,"1D-myo-inositol 1,4,5-trisphosphate",NA,NA,NA,NA,ADP,"1D-myo-inositol 1,3,4,5-tetrakisphosphate",NA,NA,NA,NA,NA,NA
3878,2.7.1.130,tetraacyldisaccharide 4'-kinase,ATP,"(2-N,3-O-bis[(3R)-3-hydroxytetradecanoyl]-beta-D-glucosaminyl)-(1->6)-(2-N,3-O-bis[(3R)-3-hydroxytetradecanoyl]-alpha-D-glucosaminyl phosphate)",NA,NA,NA,NA,ADP,"(2-N,3-O-bis[(3R)-3-hydroxytetradecanoyl]-4-O-phospho-beta-D-glucosaminyl)-(1->6)-(2-N,3-O-bis[(3R)-3-hydroxytetradecanoyl]-alpha-D-glucosaminyl phosphate)",NA,NA,NA,NA,NA,NA
3879,2.7.1.130,tetraacyldisaccharide 4'-kinase,ATP,"{2-N,3-O-bis[(3R)-3-hydroxytetradecanoyl]-beta-D-glucosaminyl}-(1->6)-{2-N,3-O-bis[(3R)-3-hydroxytetradecanoyl]-alpha-D-glucosaminyl phosphate}",NA,NA,NA,NA,ADP,"{2-N,3-O-bis[(3R)-3-hydroxytetradecanoyl]-4-O-phospho-beta-D-glucosaminyl}-(1->6)-{2-N,3-O-bis[(3R)-3-hydroxytetradecanoyl]-alpha-D-glucosaminyl phosphate}",NA,NA,NA,NA,NA,NA
3880,2.7.1.134,inositol-tetrakisphosphate 1-kinase,ATP,"1D-myo-inositol 3,4,5,6-tetrakisphosphate",NA,NA,NA,NA,ADP,"1D-myo-inositol 1,3,4,5,6-pentakisphosphate",NA,NA,NA,NA,NA,NA
3881,2.7.1.136,macrolide 2'-kinase,ATP,oleandomycin,NA,NA,NA,NA,ADP,oleandomycin 2'-O-phosphate,NA,NA,NA,NA,NA,NA
3882,2.7.1.137,phosphatidylinositol 3-kinase,ATP,1-phosphatidyl-1D-myo-inositol,NA,NA,NA,NA,ADP,1-phosphatidyl-1D-myo-inositol 3-phosphate,NA,NA,NA,NA,NA,NA
3883,2.7.1.138,ceramide kinase,ATP,ceramide,NA,NA,NA,NA,ADP,ceramide 1-phosphate,NA,NA,NA,NA,NA,NA
3884,2.7.1.140,inositol-tetrakisphosphate 5-kinase,ATP,"1D-myo-inositol 1,3,4,6-tetrakisphosphate",NA,NA,NA,NA,ADP,"1D-myo-inositol 1,3,4,5,6-pentakisphosphate",NA,NA,NA,NA,NA,NA
3885,2.7.1.142,glycerol-3-phosphate-glucose phosphotransferase,sn-glycerol 3-phosphate,D-glucose,NA,NA,NA,NA,glycerol,D-glucose 6-phosphate,NA,NA,NA,NA,NA,NA
3886,2.7.1.143,diphosphate-purine nucleoside kinase,diphosphate,a purine nucleoside,NA,NA,NA,NA,phosphate,a purine mononucleotide,NA,NA,NA,NA,NA,NA
3887,2.7.1.144,tagatose-6-phosphate kinase,ATP,D-tagatose 6-phosphate,NA,NA,NA,NA,ADP,"D-tagatose 1,6-bisphosphate",NA,NA,NA,NA,NA,NA
3888,2.7.1.145,deoxynucleoside kinase,ATP,a 2'-deoxyribonucleoside,NA,NA,NA,NA,ADP,a 2'-deoxyribonucleoside 5'-phosphate,NA,NA,NA,NA,NA,NA
3889,2.7.1.146,ADP-specific phosphofructokinase,ADP,D-fructose 6-phosphate,NA,NA,NA,NA,AMP,"D-fructose 1,6-bisphosphate",NA,NA,NA,NA,NA,NA
3890,2.7.1.147,ADP-specific glucose/glucosamine kinase,ADP,D-glucosamine,NA,NA,NA,NA,AMP,D-glucosamine 6-phosphate,NA,NA,NA,NA,NA,NA
3891,2.7.1.147,ADP-specific glucose/glucosamine kinase,ADP,D-glucose,NA,NA,NA,NA,AMP,D-glucose 6-phosphate,NA,NA,NA,NA,NA,NA
3892,2.7.1.148,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,ATP,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol,NA,NA,NA,NA,ADP,2-phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol,NA,NA,NA,NA,NA,NA
3893,2.7.1.149,1-phosphatidylinositol-5-phosphate 4-kinase,ATP,1-phosphatidyl-1D-myo-inositol 5-phosphate,NA,NA,NA,NA,ADP,"1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate",NA,NA,NA,NA,NA,NA
3894,2.7.1.150,1-phosphatidylinositol-3-phosphate 5-kinase,ATP,1-phosphatidyl-1D-myo-inositol 3-phosphate,NA,NA,NA,NA,ADP,"1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate",NA,NA,NA,NA,NA,NA
3895,2.7.1.151,inositol-polyphosphate multikinase,ATP,"1D-myo-inositol 1,4,5,6-tetrakisphosphate",NA,NA,NA,NA,ADP,"1D-myo-inositol 1,3,4,5,6-pentakisphosphate",NA,NA,NA,NA,NA,NA
3896,2.7.1.151,inositol-polyphosphate multikinase,ATP,"1D-myo-inositol 1,4,5-trisphosphate",NA,NA,NA,NA,ADP,"1D-myo-inositol 1,4,5,6-tetrakisphosphate",NA,NA,NA,NA,NA,NA
3897,2.7.1.153,"phosphatidylinositol-4,5-bisphosphate 3-kinase",ATP,"1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate",NA,NA,NA,NA,ADP,"1-phosphatidyl-1D-myo-inositol 3,4,5-trisphosphate",NA,NA,NA,NA,NA,NA
3898,2.7.1.154,phosphatidylinositol-4-phosphate 3-kinase,ATP,1-phosphatidyl-1D-myo-inositol 4-phosphate,NA,NA,NA,NA,ADP,"1-phosphatidyl-1D-myo-inositol 3,4-bisphosphate",NA,NA,NA,NA,NA,NA
3899,2.7.1.156,adenosylcobinamide kinase,RTP,adenosylcobinamide,NA,NA,NA,NA,adenosylcobinamide phosphate,RDP [where RTP is either ATP or GTP],NA,NA,NA,NA,NA,NA
3900,2.7.1.157,N-acetylgalactosamine kinase,ATP,N-acetyl-alpha-D-galactosamine,NA,NA,NA,NA,ADP,N-acetyl-alpha-D-galactosamine 1-phosphate,NA,NA,NA,NA,NA,NA
3901,2.7.1.158,inositol-pentakisphosphate 2-kinase,ATP,"1D-myo-inositol 1,3,4,5,6-pentakisphosphate",NA,NA,NA,NA,ADP,1D-myo-inositol hexakisphosphate,NA,NA,NA,NA,NA,NA
3902,2.7.1.159,"inositol-1,3,4-trisphosphate 5/6-kinase",ATP,"1D-myo-inositol 1,3,4-trisphosphate",NA,NA,NA,NA,ADP,"1D-myo-inositol 1,3,4,5-tetrakisphosphate",NA,NA,NA,NA,NA,NA
3903,2.7.1.159,"inositol-1,3,4-trisphosphate 5/6-kinase",ATP,"1D-myo-inositol 1,3,4-trisphosphate",NA,NA,NA,NA,ADP,"1D-myo-inositol 1,3,4,6-tetrakisphosphate",NA,NA,NA,NA,NA,NA
3904,2.7.1.159,"inositol-1,3,4-trisphosphate 5/6-kinase",ATP,"1D-myo-inositol-1,3,4-trisphosphate",NA,NA,NA,NA,ADP,"1D-myo-inositol-1,3,4,5-tetrakisphosphate",NA,NA,NA,NA,NA,NA
3905,2.7.1.159,"inositol-1,3,4-trisphosphate 5/6-kinase",ATP,"1D-myo-inositol-1,3,4-trisphosphate",NA,NA,NA,NA,ADP,"1D-myo-inositol-1,3,4,6-tetrakisphosphate",NA,NA,NA,NA,NA,NA
3906,2.7.1.160,2'-phosphotransferase,2'-phospho-[ligated tRNA],NAD+,NA,NA,NA,NA,mature tRNA,"ADP-ribose 1'',2''-phosphate",nicotinamide,NA,NA,NA,NA,NA
3907,2.7.1.161,CTP-dependent riboflavin kinase,CTP,riboflavin,NA,NA,NA,NA,CDP,FMN,NA,NA,NA,NA,NA,NA
3908,2.7.1.162,N-acetylhexosamine 1-kinase,ATP,N-acetyl-D-hexosamine,NA,NA,NA,NA,ADP,N-acetyl-alpha-D-hexosamine 1-phosphate,NA,NA,NA,NA,NA,NA
3909,2.7.1.163,hygromycin B 4-O-kinase,ATP,hygromycin B,NA,NA,NA,NA,ADP,4-O-phosphohygromycin B,NA,NA,NA,NA,NA,NA
3910,2.7.1.163,hygromycin B 4-O-kinase,ATP,hygromycin B,NA,NA,NA,NA,ADP,7''-O-phosphohygromycin B,NA,NA,NA,NA,NA,NA
3911,2.7.1.164,O-phosphoseryl-tRNASec kinase,ATP,L-seryl-tRNASec,NA,NA,NA,NA,ADP,O-phospho-L-seryl-tRNASec,NA,NA,NA,NA,NA,NA
3912,2.7.1.165,glycerate 2-kinase,ATP,D-glycerate,NA,NA,NA,NA,ADP,2-phospho-D-glycerate,NA,NA,NA,NA,NA,NA
3913,2.7.1.166,3-deoxy-D-manno-octulosonic acid kinase,alpha-Kdo-(2->6)-lipid IVA,ATP,NA,NA,NA,NA,4-O-phospho-alpha-Kdo-(2->6)-lipid IVA,ADP,NA,NA,NA,NA,NA,NA
3914,2.7.1.167,D-glycero-beta-D-manno-heptose-7-phosphate kinase,D-glycero-beta-D-manno-heptose 7-phosphate,ATP,NA,NA,NA,NA,"D-glycero-beta-D-manno-heptose 1,7-bisphosphate",ADP,NA,NA,NA,NA,NA,NA
3915,2.7.1.168,D-glycero-alpha-D-manno-heptose-7-phosphate kinase,D-glycero-alpha-D-manno-heptose 7-phosphate,ATP,NA,NA,NA,NA,"D-glycero-alpha-D-manno-heptose 1,7-bisphosphate",ADP,NA,NA,NA,NA,NA,NA
3916,2.7.1.169,pantoate kinase,ATP,(R)-pantoate,NA,NA,NA,NA,ADP,(R)-4-phosphopantoate,NA,NA,NA,NA,NA,NA
3917,2.7.1.170,anhydro-N-acetylmuramic acid kinase,ATP,"1,6-anhydro-N-acetyl-beta-muramate",H2O,NA,NA,NA,ADP,N-acetylmuramate 6-phosphate,NA,NA,NA,NA,NA,NA
3918,2.7.1.173,nicotinate riboside kinase,ATP,beta-D-ribosylnicotinate,NA,NA,NA,NA,ADP,nicotinate beta-D-ribonucleotide,NA,NA,NA,NA,NA,NA
3919,2.7.1.174,diacylglycerol kinase (CTP),CTP,"1,2-diacyl-sn-glycerol",NA,NA,NA,NA,CDP,"1,2-diacyl-sn-glycerol 3-phosphate",NA,NA,NA,NA,NA,NA
3920,2.7.1.175,maltokinase,ATP,maltose,NA,NA,NA,NA,ADP,alpha-maltose 1-phosphate,NA,NA,NA,NA,NA,NA
3921,2.7.1.176,UDP-N-acetylglucosamine kinase,ATP,UDP-N-acetyl-alpha-D-glucosamine,NA,NA,NA,NA,ADP,UDP-N-acetyl-alpha-D-glucosamine 3'-phosphate,NA,NA,NA,NA,NA,NA
3922,2.7.1.177,L-threonine kinase,ATP,L-threonine,NA,NA,NA,NA,ADP,O-phospho-L-threonine,NA,NA,NA,NA,NA,NA
3923,2.7.1.178,2-dehydro-3-deoxyglucono/galactono-kinase,ATP,2-dehydro-3-deoxy-D-galactonate,NA,NA,NA,NA,ADP,2-dehydro-3-deoxy-6-phospho-D-galactonate,NA,NA,NA,NA,NA,NA
3924,2.7.1.178,2-dehydro-3-deoxyglucono/galactono-kinase,ATP,2-dehydro-3-deoxy-D-gluconate,NA,NA,NA,NA,ADP,2-dehydro-3-deoxy-6-phospho-D-gluconate,NA,NA,NA,NA,NA,NA
3925,2.7.1.179,kanosamine kinase,ATP,kanosamine,NA,NA,NA,NA,ADP,kanosamine 6-phosphate,NA,NA,NA,NA,NA,NA
3926,2.7.1.181,"polymannosyl GlcNAc-diphospho-ditrans,octacis-undecaprenol kinase",ATP,"alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-[alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-Man-(1->2)-alpha-D-Man-(1->2)]n-alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-GlcNAc-diphospho-ditrans,octacis-undecaprenol",NA,NA,NA,NA,ADP,"3-O-phospho-alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-[alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-Man-(1->2)-alpha-D-Man-(1->2)]n-alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-GlcNAc-diphospho-ditrans,octacis-undecaprenol",NA,NA,NA,NA,NA,NA
3927,2.7.1.182,phytol kinase,CTP,phytol,NA,NA,NA,NA,CDP,phytyl phosphate,NA,NA,NA,NA,NA,NA
3928,2.7.1.184,sulfofructose kinase,ATP,6-deoxy-6-sulfo-D-fructose,NA,NA,NA,NA,ADP,6-deoxy-6-sulfo-D-fructose 1-phosphate,NA,NA,NA,NA,NA,NA
3929,2.7.1.185,mevalonate 3-kinase,ATP,(R)-mevalonate,NA,NA,NA,NA,ADP,(R)-3-phosphomevalonate,NA,NA,NA,NA,NA,NA
3930,2.7.1.186,mevalonate-3-phosphate 5-kinase,ATP,(R)-3-phosphomevalonate,NA,NA,NA,NA,ADP,"(R)-3,5-bisphosphomevalonate",NA,NA,NA,NA,NA,NA
3931,2.7.1.187,acarbose 7IV-phosphotransferase,ATP,acarbose,NA,NA,NA,NA,ADP,acarbose 7IV-phosphate,NA,NA,NA,NA,NA,NA
3932,2.7.1.188,2-epi-5-epi-valiolone 7-kinase,ATP,2-epi-5-epi-valiolone,NA,NA,NA,NA,ADP,2-epi-5-epi-valiolone 7-phosphate,NA,NA,NA,NA,NA,NA
3933,2.7.1.189,autoinducer-2 kinase,ATP,"(S)-4,5-dihydroxypentane-2,3-dione",NA,NA,NA,NA,ADP,"(S)-4-hydroxypentane-2,3-dione 5-phosphate",NA,NA,NA,NA,NA,NA
3934,2.7.1.190,aminoglycoside 2''-phosphotransferase,GTP,gentamicin,NA,NA,NA,NA,GDP,gentamicin 2''-phosphate,NA,NA,NA,NA,NA,NA
3935,2.7.1.209,L-erythrulose 1-kinase,ATP,L-erythrulose,NA,NA,NA,NA,ADP,L-erythrulose 1-phosphate,NA,NA,NA,NA,NA,NA
3936,2.7.1.210,D-erythrulose 4-kinase,ATP,D-erythrulose,NA,NA,NA,NA,ADP,D-erythrulose 4-phosphate,NA,NA,NA,NA,NA,NA
3937,2.7.1.212,alpha-D-ribose-1-phosphate 5-kinase (ADP),ADP,alpha-D-ribose 1-phosphate,NA,NA,NA,NA,AMP,"alpha-D-ribose 1,5-bisphosphate",NA,NA,NA,NA,NA,NA
3938,2.7.1.213,cytidine kinase,ATP,cytidine,NA,NA,NA,NA,ADP,CMP,NA,NA,NA,NA,NA,NA
3939,2.7.1.214,C7-cyclitol 7-kinase,ATP,validone,NA,NA,NA,NA,ADP,validone 7-phosphate,NA,NA,NA,NA,NA,NA
3940,2.7.1.214,C7-cyclitol 7-kinase,ATP,valienone,NA,NA,NA,NA,ADP,valienone 7-phosphate,NA,NA,NA,NA,NA,NA
3941,2.7.1.215,erythritol kinase (D-erythritol 1-phosphate-forming),ATP,erythritol,NA,NA,NA,NA,ADP,D-erythritol 1-phosphate,NA,NA,NA,NA,NA,NA
3942,2.7.1.216,farnesol kinase,CTP,"(2E,6E)-farnesol",NA,NA,NA,NA,CDP,"(2E,6E)-farnesyl phosphate",NA,NA,NA,NA,NA,NA
3943,2.7.1.217,3-dehydrotetronate 4-kinase,ATP,3-dehydro-D-erythronate,NA,NA,NA,NA,ADP,3-dehydro-4-phospho-D-erythronate,NA,NA,NA,NA,NA,NA
3944,2.7.1.217,3-dehydrotetronate 4-kinase,ATP,3-dehydro-L-erythronate,NA,NA,NA,NA,ADP,3-dehydro-4-phospho-L-erythronate,NA,NA,NA,NA,NA,NA
3945,2.7.1.218,fructoselysine 6-kinase,ATP,N6-(D-fructosyl)-L-lysine,NA,NA,NA,NA,ADP,N6-(6-phospho-D-fructosyl)-L-lysine,NA,NA,NA,NA,NA,NA
3946,2.7.1.219,D-threonate 4-kinase,ATP,D-threonate,NA,NA,NA,NA,ADP,4-phospho-D-threonate,NA,NA,NA,NA,NA,NA
3947,2.7.1.220,D-erythronate 4-kinase,ATP,D-erythronate,NA,NA,NA,NA,ADP,4-phospho-D-erythronate,NA,NA,NA,NA,NA,NA
3948,2.7.1.221,N-acetylmuramate 1-kinase,ATP,N-acetyl-D-muramate,NA,NA,NA,NA,ADP,N-acetyl-alpha-D-muramate 1-phosphate,NA,NA,NA,NA,NA,NA
3949,2.7.1.222,4-hydroxytryptamine kinase,ATP,4-hydroxytryptamine,NA,NA,NA,NA,ADP,4-hydroxytryptamine 4-phosphate,NA,NA,NA,NA,NA,NA
3950,2.7.1.223,aminoimidazole riboside kinase,ATP,5-amino-1-(beta-D-ribosyl)imidazole,NA,NA,NA,NA,ADP,5-amino-1-(5-phospho-beta-D-ribosyl)imidazole,NA,NA,NA,NA,NA,NA
3951,2.7.1.224,cytidine diphosphoramidate kinase,ATP,cytidine 5'-diphosphoramidate,NA,NA,NA,NA,ADP,cytidine 3'-phospho-5'-diphosphoramidate,NA,NA,NA,NA,NA,NA
3952,2.7.1.225,L-serine kinase (ATP),ATP,L-serine,NA,NA,NA,NA,ADP,O-phospho-L-serine,NA,NA,NA,NA,NA,NA
3953,2.7.1.226,L-serine kinase (ADP),ADP,L-serine,NA,NA,NA,NA,AMP,O-phospho-L-serine,NA,NA,NA,NA,NA,NA
3954,2.7.1.227,inositol phosphorylceramide synthase,1-phosphatidyl-1D-myo-inositol,a very-long-chain (2'R)-2'-hydroxyphytoceramide,NA,NA,NA,NA,"1,2-diacyl-sn-glycerol",a very-long-chain inositol phospho-(2'R)-2'-hydroxyphytoceramide,NA,NA,NA,NA,NA,NA
3955,2.7.1.228,mannosyl-inositol-phosphoceramide inositolphosphotransferase,1-phosphatidyl-1D-myo-inositol,a very-long-chain mannosylinositol phospho-(2'R)-2'-hydroxyphytoceramide,NA,NA,NA,NA,"1,2-diacyl-sn-glycerol",a very-long-chain mannosyl-diphosphoinositol-(2'R)-2'-hydroxyphytoceramide,NA,NA,NA,NA,NA,NA
3956,2.7.1.229,deoxyribokinase,ATP,2-deoxy-D-ribose,NA,NA,NA,NA,ADP,2-deoxy-D-ribose 5-phosphate,NA,NA,NA,NA,NA,NA
3957,2.7.1.230,amicoumacin kinase,ATP,amicoumacin A,NA,NA,NA,NA,ADP,amicoumacin A 2-phosphate,NA,NA,NA,NA,NA,NA
3958,2.7.1.231,3-oxoisoapionate kinase,ATP,3-oxoisoapionate,NA,NA,NA,NA,ADP,3-oxoisoapionate 4-phosphate,NA,NA,NA,NA,NA,NA
3959,2.7.2.1,acetate kinase,ATP,acetate,NA,NA,NA,NA,ADP,acetyl phosphate,NA,NA,NA,NA,NA,NA
3960,2.7.2.1,acetate kinase,ATP,propanoate,NA,NA,NA,NA,ADP,propanoyl phosphate,NA,NA,NA,NA,NA,NA
3961,2.7.2.2,carbamate kinase,ATP,carbamate,NA,NA,NA,NA,ADP,carbamoyl phosphate,NA,NA,NA,NA,NA,NA
3962,2.7.2.2,carbamate kinase,ATP,NH3,hydrogencarbonate,NA,NA,NA,ADP,carbamoyl phosphate,H2O,NA,NA,NA,NA,NA
3963,2.7.2.2,carbamate kinase,NH3,hydrogencarbonate,NA,NA,NA,NA,carbamate,H2O,NA,NA,NA,NA,NA,NA
3964,2.7.2.3,phosphoglycerate kinase,ATP,3-phospho-D-glycerate,NA,NA,NA,NA,ADP,3-phospho-D-glyceroyl phosphate,NA,NA,NA,NA,NA,NA
3965,2.7.2.4,aspartate kinase,ATP,L-aspartate,NA,NA,NA,NA,ADP,4-phospho-L-aspartate,NA,NA,NA,NA,NA,NA
3966,2.7.2.6,formate kinase,ATP,formate,NA,NA,NA,NA,ADP,formyl phosphate,NA,NA,NA,NA,NA,NA
3967,2.7.2.7,butyrate kinase,ATP,butanoate,NA,NA,NA,NA,ADP,butanoyl phosphate,NA,NA,NA,NA,NA,NA
3968,2.7.2.8,acetylglutamate kinase,ATP,N-acetyl-L-glutamate,NA,NA,NA,NA,ADP,N-acetyl-L-glutamyl 5-phosphate,NA,NA,NA,NA,NA,NA
3969,2.7.2.10,phosphoglycerate kinase (GTP),GTP,3-phospho-D-glycerate,NA,NA,NA,NA,GDP,3-phospho-D-glyceroyl phosphate,NA,NA,NA,NA,NA,NA
3970,2.7.2.11,glutamate 5-kinase,ATP,L-glutamate,NA,NA,NA,NA,ADP,L-glutamate 5-phosphate,NA,NA,NA,NA,NA,NA
3971,2.7.2.12,acetate kinase (diphosphate),diphosphate,acetate,NA,NA,NA,NA,phosphate,acetyl phosphate,NA,NA,NA,NA,NA,NA
3972,2.7.2.14,branched-chain-fatty-acid kinase,ATP,2-methylpropanoate,NA,NA,NA,NA,ADP,2-methylpropanoyl phosphate,NA,NA,NA,NA,NA,NA
3973,2.7.2.15,propionate kinase,ATP,acetate,NA,NA,NA,NA,ADP,acetyl phosphate,NA,NA,NA,NA,NA,NA
3974,2.7.2.15,propionate kinase,ATP,propanoate,NA,NA,NA,NA,ADP,propanoyl phosphate,NA,NA,NA,NA,NA,NA
3975,2.7.2.16,2-phosphoglycerate kinase,ATP,2-phospho-D-glycerate,NA,NA,NA,NA,ADP,"2,3-diphospho-D-glycerate",NA,NA,NA,NA,NA,NA
3976,2.7.3.1,guanidinoacetate kinase,ATP,guanidinoacetate,NA,NA,NA,NA,ADP,phosphoguanidinoacetate,NA,NA,NA,NA,NA,NA
3977,2.7.3.2,creatine kinase,ATP,creatine,NA,NA,NA,NA,ADP,phosphocreatine,NA,NA,NA,NA,NA,NA
3978,2.7.3.3,arginine kinase,ATP,L-arginine,NA,NA,NA,NA,ADP,Nomega-phospho-L-arginine,NA,NA,NA,NA,NA,NA
3979,2.7.3.4,taurocyamine kinase,ATP,taurocyamine,NA,NA,NA,NA,ADP,N-phosphotaurocyamine,NA,NA,NA,NA,NA,NA
